 ,Area,Mean,Min,Max,Perim.,Angle,IntDen,%Area,RawIntDen,Length
1,15.353,1258.592,1125,1377,32.782,-14.036,19323.060,0,89360,32.782
2,14.272,1262.652,1160,1325,30.076,-14.470,18020.224,0,83335,30.076
3,11.893,1259.182,1149,1341,25.316,-15.803,14975.588,0,69255,25.316
4,10.596,1257.694,1153,1346,22.508,-16.587,13326.122,0,61627,22.508
5,10.596,1256.122,1130,1364,22.224,-20.695,13309.471,0,61550,22.224
6,10.163,1257.745,1145,1384,21.559,-21.571,12782.715,0,59114,21.559
