 ,Area,Mean,Min,Max,Perim.,Angle,IntDen,%Area,RawIntDen,Length
1,5.190,1270.542,1144,1445,10.492,-108.435,6593.756,0,30493,10.492
2,4.973,1267.870,1152,1398,10.396,-108.435,6305.727,0,29161,10.396
3,5.838,1247.704,1138,1420,12.086,-105.642,7284.638,0,33688,12.086
4,5.838,1260.556,1136,1388,12.059,-109.799,7359.673,0,34035,12.059
