 ,Area,Mean,Min,Max,Perim.,Angle,IntDen,%Area,RawIntDen,Length
1,8.001,1255.297,1153,1424,16.525,-106.390,10043.407,0,46446.000,16.525
2,7.785,1272.306,1148,1435,16.332,-106.390,9904.366,0,45803.000,16.332
3,9.082,1277.262,1159,1442,19.061,-105.376,11600.107,0,53645.000,19.061
4,9.947,1267.391,1130,1436,20.866,-102.804,12606.697,0,58300.000,20.866
5,9.947,1266.391,1106,1429,20.951,-105.593,12596.750,0,58254.000,20.951
6,9.947,1266.913,1129,1441,20.951,-105.593,12601.939,0,58278.000,20.951
