 ,Area,Mean,Min,Max,Perim.,Angle,IntDen,%Area,RawIntDen,Length
1,9.298,1252.698,1145,1341,19.540,-19.290,11647.896,0,53866,19.540
2,8.001,1244.162,1180,1320,16.741,-19.440,9954.317,0,46034,16.741
3,6.271,1244.724,1157,1339,13.069,-25.641,7805.556,0,36097,13.069
4,6.055,1251.321,1181,1367,12.515,-26.565,7576.343,0,35037,12.515
